"","Model","RMSE"
"1","Naive","22.9661593551078"
"2","lm","15.4800760549273"
"3","20000","15.0110296781067"
"4","15000","14.9712152871227"
"5","10000","14.8659750377842"
"6","5000","14.8027249368765"
"7","2000","14.5628948523459"
"8","1000","14.3783795883035"
"9","500","14.2880927050447"
"10","200","14.256033706002"
"11","100","14.281191321767"
