"","NodeSizes","EstOOSRMSE"
"1",5,18.0234113323447
"2",200,18.0129525453476
"3",400,18.011678137626
"4",600,18.0114728820969
"5",800,18.0093577701832
"6",1000,18.0077390624098
"7",1200,18.0088342727
"8",1400,18.0097828722647
"9",1600,18.0128359077834
"10",1800,18.0134983184733
"11",2000,18.01337822337
