"","Model","RMSE"
"1","Naive","18.387721733081"
"2","lm","11.8989596723952"
"3","224","10.1095270189927"
"4","192","10.1003716579382"
"5","160","10.0893080831061"
"6","128","10.0788192906196"
"7","96","10.0736559134373"
"8","64","10.0803162397177"
"9","32","10.1001982591025"
"10","16","10.1363923737889"
